experiment_name,seed,training_time,hyperparameters,moving_average_rev,mean_over_best_gain
zero_shot_zero_clean,537919,238.18236875534058,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 537919, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",346152423.78810596,345814400.0
zero_shot_zero_clean,923347,242.68137288093567,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 923347, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344820119.94003,344672000.0
zero_shot_zero_clean,173629,185.51389122009277,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 173629, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",346042788.60569715,345815200.0
zero_shot_zero_clean,419351,238.6216380596161,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 419351, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",343491654.17291355,343010400.0
zero_shot_zero_clean,287887,239.05782675743103,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 287887, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344622718.6406796,344520400.0
zero_shot_zero_clean,1244,237.1156678199768,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 1244, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",346909655.1724138,346724000.0
zero_shot_zero_clean,24341,234.80806708335876,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 24341, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",344924217.8910545,344780000.0
zero_shot_percentiles_5_isolated,537919,322.0517611503601,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 537919, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",345413003.49825084,344854400.0
zero_shot_percentiles_5_isolated,923347,319.44889307022095,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 923347, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",345769015.4922539,345550000.0
zero_shot_percentiles_5_isolated,173629,319.33041191101074,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5393339924944204, 'importance_type': 'split', 'learning_rate': 0.009033979476164342, 'max_depth': -1, 'min_child_samples': 3, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 31204, 'n_jobs': None, 'num_leaves': 4, 'objective': None, 'random_state': 173629, 'reg_alpha': 15.800090067239827, 'reg_lambda': 34.82471227276953, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 1023, 'verbose': -1}",346509925.0374813,344991200.0
